SK_Data,Data,Ano,Mes,Dia,Dia_Semana
1,2026-04-12,2026,4,12,Domingo
2,2025-07-07,2025,7,7,Segunda-feira
3,2025-10-06,2025,10,6,Segunda-feira
4,2025-09-20,2025,9,20,Sábado
5,2024-11-05,2024,11,5,Terça-feira
6,2025-11-24,2025,11,24,Segunda-feira
7,2024-01-31,2024,1,31,Quarta-feira
8,2026-04-01,2026,4,1,Quarta-feira
9,2025-07-27,2025,7,27,Domingo
10,2025-11-10,2025,11,10,Segunda-feira
11,2025-12-30,2025,12,30,Terça-feira
12,2025-04-09,2025,4,9,Quarta-feira
13,2025-11-20,2025,11,20,Quinta-feira
14,2024-10-27,2024,10,27,Domingo
15,2024-12-04,2024,12,4,Quarta-feira
16,2024-06-21,2024,6,21,Sexta-feira
17,2024-02-19,2024,2,19,Segunda-feira
18,2024-04-12,2024,4,12,Sexta-feira
19,2024-10-05,2024,10,5,Sábado
20,2025-03-02,2025,3,2,Domingo
21,2025-12-20,2025,12,20,Sábado
22,2024-01-03,2024,1,3,Quarta-feira
23,2025-07-05,2025,7,5,Sábado
24,2024-01-23,2024,1,23,Terça-feira
25,2024-09-26,2024,9,26,Quinta-feira
26,2025-12-04,2025,12,4,Quinta-feira
27,2025-11-29,2025,11,29,Sábado
28,2024-07-05,2024,7,5,Sexta-feira
29,2025-05-12,2025,5,12,Segunda-feira
30,2025-07-24,2025,7,24,Quinta-feira
31,2024-11-09,2024,11,9,Sábado
32,2025-10-12,2025,10,12,Domingo
33,2026-01-09,2026,1,9,Sexta-feira
34,2024-01-26,2024,1,26,Sexta-feira
35,2025-04-01,2025,4,1,Terça-feira
36,2024-11-19,2024,11,19,Terça-feira
37,2024-09-07,2024,9,7,Sábado
38,2024-02-16,2024,2,16,Sexta-feira
39,2025-10-16,2025,10,16,Quinta-feira
40,2025-07-22,2025,7,22,Terça-feira
41,2024-07-06,2024,7,6,Sábado
42,2024-03-25,2024,3,25,Segunda-feira
43,2025-01-24,2025,1,24,Sexta-feira
44,2025-08-27,2025,8,27,Quarta-feira
45,2024-03-06,2024,3,6,Quarta-feira
