SK_Venda,SK_Produto,SK_Aluno,SK_Data,Quantia_Comprada
1,1,4,1,5
2,1,8,2,10
3,1,17,3,9
4,1,22,4,9
5,1,48,5,6
6,2,1,6,8
7,2,2,7,7
8,2,20,8,10
9,2,29,9,4
10,2,42,10,7
11,2,45,11,7
12,3,2,12,10
13,3,6,13,5
14,3,15,14,6
15,3,23,15,7
16,3,42,16,6
17,3,45,17,8
18,4,6,18,1
19,4,9,19,6
20,4,10,20,2
21,4,11,21,4
22,4,23,22,8
23,4,29,23,8
24,4,32,24,5
25,4,39,25,6
26,4,48,26,6
27,5,8,27,9
28,5,15,28,6
29,5,22,29,2
30,5,29,30,8
31,5,38,31,1
32,6,3,32,9
33,6,4,33,4
34,6,11,34,1
35,6,20,35,1
36,6,21,36,10
37,6,38,25,5
38,6,40,37,5
39,6,42,38,7
40,6,48,39,10
41,7,1,40,5
42,7,2,41,8
43,7,6,42,6
44,7,9,41,4
45,7,10,43,9
46,7,43,44,3
47,7,47,45,6
48,8,10,46,8
49,8,12,47,3
50,8,26,48,8
51,9,15,49,4
52,9,17,50,9
53,9,19,51,1
54,9,22,52,9
55,9,40,53,6
56,9,45,54,8
57,10,9,55,1
58,10,12,56,1
59,10,21,57,3
60,10,32,58,3
61,10,36,59,3
62,10,40,60,4
63,10,47,61,4
64,10,49,62,6
65,1,4,63,5
66,1,8,64,10
67,1,17,65,9
68,1,22,66,9
69,1,48,67,6
70,2,1,68,8
71,2,2,69,7
72,2,20,70,10
73,2,29,71,4
74,2,42,72,7
75,2,45,73,7
76,3,2,74,10
77,3,6,75,5
78,3,15,76,6
79,3,23,77,7
80,3,42,70,6
81,3,45,78,8
82,4,6,79,1
83,4,9,80,6
84,4,10,81,2
85,4,11,82,4
86,4,23,63,8
87,4,29,83,8
88,4,32,84,5
89,4,39,66,6
90,4,48,85,6
91,5,8,86,9
92,5,15,87,6
93,5,22,88,2
94,5,29,89,8
95,5,38,90,1
96,6,3,91,9
97,6,4,92,4
98,6,11,93,1
99,6,20,94,1
100,6,21,95,10
101,6,38,96,5
102,6,40,1,5
103,6,42,97,7
104,6,48,98,10
105,7,1,99,5
106,7,2,100,8
107,7,6,101,6
108,7,9,102,4
109,7,10,103,9
110,7,43,104,3
111,7,47,105,6
112,8,10,106,8
113,8,12,107,3
114,8,26,108,8
115,9,15,109,4
116,9,17,34,9
117,9,19,110,1
118,9,22,111,9
119,9,40,112,6
120,9,45,113,8
121,10,9,114,1
122,10,12,25,1
123,10,21,115,3
124,10,32,116,3
125,10,36,117,3
126,10,40,118,4
127,10,47,119,4
128,10,49,120,6
129,1,4,121,5
130,1,8,122,10
131,1,17,123,9
132,1,22,124,9
133,1,48,125,6
134,2,1,126,8
135,2,2,127,7
136,2,20,128,10
137,2,29,129,4
138,2,42,48,7
139,2,45,130,7
140,3,2,131,10
141,3,6,132,5
142,3,15,119,6
143,3,23,133,7
144,3,42,134,6
145,3,45,135,8
146,4,6,1,1
147,4,9,136,6
148,4,10,137,2
149,4,11,138,4
150,4,23,139,8
151,4,29,26,8
152,4,32,38,5
153,4,39,140,6
154,4,48,20,6
155,5,8,141,9
156,5,15,142,6
157,5,22,16,2
158,5,29,87,8
159,5,38,143,1
160,6,3,144,9
161,6,4,145,4
162,6,11,146,1
163,6,20,147,1
164,6,21,148,10
165,6,38,69,5
166,6,40,149,5
167,6,42,150,7
168,6,48,151,10
169,7,1,152,5
170,7,2,153,8
171,7,6,154,6
172,7,9,155,4
173,7,10,156,9
174,7,43,157,3
175,7,47,158,6
176,8,10,159,8
177,8,12,160,3
178,8,26,161,8
179,9,15,162,4
180,9,17,163,9
181,9,19,92,1
182,9,22,164,9
183,9,40,165,6
184,9,45,166,8
185,10,9,167,1
186,10,12,167,1
187,10,21,168,3
188,10,32,169,3
189,10,36,170,3
190,10,40,171,4
191,10,47,172,4
192,10,49,173,6
193,1,4,174,5
194,1,8,175,10
195,1,17,108,9
196,1,22,23,9
197,1,48,176,6
198,2,1,146,8
199,2,2,177,7
200,2,20,178,10
201,2,29,179,4
202,2,42,180,7
203,2,45,181,7
204,3,2,182,10
205,3,6,183,5
206,3,15,184,6
207,3,23,153,7
208,3,42,185,6
209,3,45,146,8
210,4,6,186,1
211,4,9,129,6
212,4,10,187,2
213,4,11,188,4
214,4,23,166,8
215,4,29,189,8
216,4,32,190,5
217,4,39,191,6
218,4,48,192,6
219,5,8,150,9
220,5,15,193,6
221,5,22,194,2
222,5,29,100,8
223,5,38,195,1
224,6,3,196,9
225,6,4,197,4
226,6,11,198,1
227,6,20,199,1
228,6,21,200,10
229,6,38,131,5
230,6,40,201,5
231,6,42,202,7
232,6,48,203,10
233,7,1,204,5
234,7,2,205,8
235,7,6,206,6
236,7,9,9,4
237,7,10,207,9
238,7,43,208,3
239,7,47,151,6
240,8,10,209,8
241,8,12,210,3
242,8,26,73,8
243,9,15,211,4
244,9,17,212,9
245,9,19,213,1
246,9,22,214,9
247,9,40,177,6
248,9,45,215,8
249,10,9,216,1
250,10,12,217,1
251,10,21,212,3
252,10,32,218,3
253,10,36,67,3
254,10,40,153,4
255,10,47,202,4
256,10,49,149,6
1002,1,4,1002,5
1003,1,8,1003,10
1004,1,17,160,9
1005,1,22,52,9
1006,1,48,193,6
1007,2,1,1004,8
1008,2,2,166,7
1009,2,20,1005,10
1010,2,29,1006,4
1011,2,42,88,7
1012,2,45,1007,7
1013,3,2,1008,10
1014,3,6,1009,5
1015,3,15,163,6
1016,3,23,1010,7
1017,3,42,1011,6
1018,3,45,1012,8
1019,4,6,1013,1
1020,4,9,1014,6
1021,4,10,1015,2
1022,4,11,1016,4
1023,4,23,1017,8
1024,4,29,1018,8
1025,4,32,1019,5
1026,4,39,1020,6
1027,4,48,1021,6
1028,5,8,1022,9
1029,5,15,1023,6
1030,5,22,1024,2
1031,5,29,1025,8
1032,5,38,1026,1
1033,6,3,42,9
1034,6,4,1027,4
1035,6,11,1028,1
1036,6,20,126,1
1037,6,21,1029,10
1038,6,38,184,5
1039,6,40,1030,5
1040,6,42,1031,7
1041,6,48,1032,10
1042,7,1,79,5
1043,7,2,74,8
1044,7,6,1033,6
1045,7,9,104,4
1046,7,10,1034,9
1047,7,43,38,3
1048,7,47,1035,6
1049,8,10,1036,8
1050,8,12,116,3
1051,8,26,142,8
1052,9,15,61,4
1053,9,17,1037,9
1054,9,19,1038,1
1055,9,22,1039,9
1056,9,40,1040,6
1057,9,45,1041,8
1058,10,9,1042,1
1059,10,12,146,1
1060,10,21,1043,3
1061,10,32,23,3
1062,10,36,1044,3
1063,10,40,1045,4
1064,10,47,1046,4
1065,10,49,1047,6
