Ano,Mes,Qtd_Vendida,Receita_Total,Num_Transacoes,Receita_Acumulada
2024,1,57,2841.3,11,2841.3
2024,2,76,2734.2,11,5575.5
2024,3,83,3638.5,12,9214.0
2024,4,52,3163.6,9,12377.6
2024,5,42,2675.7999999999997,8,15053.4
2024,6,79,4113.1,15,19166.5
2024,7,69,3634.1,12,22800.6
2024,8,89,3715.9,17,26516.5
2024,9,48,2815.2,10,29331.7
2024,10,62,3201.8,12,32533.5
2024,11,91,5320.7,14,37854.2
2024,12,75,4237.5,12,42091.7
2025,1,73,3761.5,13,45853.2
2025,2,32,1291.8,6,47145.0
2025,3,37,2066.3,7,49211.3
2025,4,42,2565.8,8,51777.100000000006
2025,5,45,3205.5,8,54982.600000000006
2025,6,64,2361.6,10,57344.200000000004
2025,7,113,6451.3,19,63795.50000000001
2025,8,34,1806.6,8,65602.1
2025,9,85,4660.5,14,70262.6
2025,10,101,6139.9,15,76402.5
2025,11,79,4772.9,12,81175.4
2025,12,74,4762.6,12,85938.0
2026,1,64,3902.4,10,89840.4
2026,2,54,2101.2,9,91941.59999999999
2026,3,55,2598.5,12,94540.09999999999
2026,4,75,3431.9,14,97971.99999999999
