ID_Treino,Nome_Exercicio,Carga,Reps
1,Agachamento,63,11
1,Leg Press,38,6
1,Puxada Frontal,102,14
1,Rosca Direta,22,8
1,Supino Reto,106,6
1,Triceps Pulley,112,6
2,Abdominal,103,14
2,Agachamento,80,14
2,Puxada Frontal,37,14
2,Rosca Direta,47,14
2,Supino Inclinado,69,6
2,Triceps Pulley,96,15
3,Puxada Frontal,10,14
3,Supino Inclinado,109,6
3,Supino Reto,25,15
4,Elevacao Lateral,58,12
4,Leg Press,108,7
4,Panturrilha,77,13
4,Puxada Frontal,64,10
4,Remada Curvada,85,8
5,Puxada Frontal,109,11
5,Remada Curvada,55,7
5,Supino Inclinado,81,9
5,Triceps Pulley,26,10
6,Abdominal,93,10
6,Leg Press,102,9
6,Panturrilha,52,8
6,Puxada Frontal,15,12
6,Rosca Direta,116,6
6,Supino Reto,46,7
7,Leg Press,40,6
7,Puxada Frontal,71,9
7,Remada Curvada,82,8
7,Supino Inclinado,57,6
7,Triceps Pulley,44,7
8,Abdominal,115,7
8,Agachamento,79,7
8,Remada Curvada,58,13
8,Supino Inclinado,44,6
8,Triceps Pulley,106,6
9,Abdominal,39,11
9,Elevacao Lateral,63,13
9,Leg Press,22,15
9,Panturrilha,28,9
9,Rosca Direta,13,12
9,Triceps Pulley,103,9
10,Abdominal,94,14
10,Agachamento,108,7
10,Leg Press,96,7
10,Supino Inclinado,89,14
10,Triceps Pulley,18,6
11,Desenvolvimento,15,14
11,Puxada Frontal,27,6
11,Remada Curvada,49,10
11,Rosca Direta,61,14
11,Supino Reto,23,7
12,Agachamento,116,11
12,Elevacao Lateral,25,12
12,Panturrilha,102,11
12,Puxada Frontal,102,9
12,Remada Curvada,87,9
12,Triceps Pulley,10,9
13,Abdominal,118,13
13,Elevacao Lateral,45,9
13,Rosca Direta,38,7
14,Abdominal,94,7
14,Agachamento,80,10
14,Desenvolvimento,25,8
14,Elevacao Lateral,92,8
14,Puxada Frontal,19,8
14,Supino Inclinado,115,9
15,Desenvolvimento,113,6
15,Elevacao Lateral,94,14
15,Leg Press,94,14
15,Panturrilha,43,12
15,Remada Curvada,38,15
15,Supino Inclinado,10,15
16,Agachamento,79,13
16,Elevacao Lateral,47,15
16,Panturrilha,110,11
16,Supino Reto,36,9
17,Abdominal,102,6
17,Desenvolvimento,20,9
17,Rosca Direta,112,8
18,Abdominal,73,14
18,Elevacao Lateral,85,8
18,Remada Curvada,114,12
19,Agachamento,34,7
19,Leg Press,23,11
19,Panturrilha,96,6
19,Rosca Direta,11,11
19,Supino Reto,105,6
20,Desenvolvimento,119,11
20,Remada Curvada,35,15
20,Supino Inclinado,28,14
20,Supino Reto,108,14
21,Desenvolvimento,93,10
21,Elevacao Lateral,30,7
21,Panturrilha,46,9
21,Puxada Frontal,83,9
21,Remada Curvada,46,11
21,Supino Inclinado,85,8
22,Agachamento,72,6
22,Rosca Direta,68,6
22,Supino Reto,17,10
23,Abdominal,46,8
23,Leg Press,18,12
23,Panturrilha,72,15
23,Rosca Direta,20,7
23,Supino Inclinado,96,9
23,Triceps Pulley,14,7
24,Desenvolvimento,54,13
24,Elevacao Lateral,30,10
24,Remada Curvada,87,8
24,Supino Inclinado,22,8
24,Triceps Pulley,65,10
25,Agachamento,40,11
25,Remada Curvada,38,10
25,Rosca Direta,45,12
25,Supino Reto,28,9
26,Desenvolvimento,34,9
26,Elevacao Lateral,44,9
26,Remada Curvada,42,15
26,Supino Reto,96,12
27,Abdominal,12,13
27,Elevacao Lateral,74,11
27,Supino Reto,20,7
27,Triceps Pulley,60,11
28,Desenvolvimento,98,11
28,Elevacao Lateral,33,8
28,Triceps Pulley,36,11
29,Abdominal,68,7
29,Agachamento,92,11
29,Elevacao Lateral,56,15
29,Rosca Direta,115,14
29,Supino Inclinado,105,6
29,Triceps Pulley,104,14
30,Panturrilha,84,8
30,Remada Curvada,62,8
30,Rosca Direta,38,11
31,Abdominal,62,11
31,Desenvolvimento,41,11
31,Elevacao Lateral,63,14
31,Panturrilha,17,7
31,Rosca Direta,46,9
32,Agachamento,85,9
32,Desenvolvimento,114,8
32,Elevacao Lateral,32,11
32,Puxada Frontal,74,7
32,Remada Curvada,118,13
32,Supino Reto,59,15
33,Desenvolvimento,97,9
33,Remada Curvada,72,14
33,Rosca Direta,37,10
34,Abdominal,54,15
34,Agachamento,17,15
34,Remada Curvada,33,12
34,Rosca Direta,76,14
34,Supino Inclinado,95,8
34,Supino Reto,48,11
35,Abdominal,82,12
35,Agachamento,19,13
35,Desenvolvimento,55,13
35,Rosca Direta,93,6
35,Supino Inclinado,103,14
35,Triceps Pulley,30,10
36,Agachamento,26,9
36,Puxada Frontal,88,10
36,Remada Curvada,73,10
37,Desenvolvimento,22,14
37,Elevacao Lateral,111,14
37,Leg Press,76,6
37,Rosca Direta,120,8
38,Abdominal,25,10
38,Desenvolvimento,107,9
38,Leg Press,118,14
38,Remada Curvada,62,6
38,Rosca Direta,120,9
38,Triceps Pulley,67,6
39,Abdominal,102,15
39,Leg Press,86,12
39,Remada Curvada,76,13
39,Rosca Direta,18,7
39,Triceps Pulley,41,10
40,Abdominal,93,9
40,Agachamento,87,10
40,Desenvolvimento,92,8
40,Elevacao Lateral,118,9
40,Supino Reto,16,14
40,Triceps Pulley,19,15
41,Agachamento,77,6
41,Leg Press,58,6
41,Supino Reto,88,8
41,Triceps Pulley,116,11
42,Abdominal,38,8
42,Agachamento,62,11
42,Leg Press,116,8
42,Panturrilha,75,8
42,Puxada Frontal,17,6
42,Remada Curvada,59,10
43,Leg Press,41,15
43,Puxada Frontal,78,12
43,Remada Curvada,93,10
44,Agachamento,34,11
44,Panturrilha,104,15
44,Remada Curvada,48,14
45,Desenvolvimento,83,12
45,Leg Press,83,6
45,Panturrilha,84,12
45,Puxada Frontal,48,9
45,Supino Inclinado,12,9
46,Agachamento,17,6
46,Desenvolvimento,15,11
46,Leg Press,52,8
46,Panturrilha,48,15
46,Remada Curvada,87,11
47,Abdominal,17,7
47,Agachamento,57,6
47,Leg Press,59,15
47,Puxada Frontal,18,8
47,Remada Curvada,12,15
47,Supino Inclinado,112,11
48,Agachamento,89,14
48,Desenvolvimento,26,8
48,Leg Press,92,7
48,Puxada Frontal,87,6
48,Supino Reto,76,10
49,Leg Press,20,9
49,Panturrilha,58,11
49,Remada Curvada,57,13
49,Supino Reto,55,8
49,Triceps Pulley,71,13
50,Abdominal,11,14
50,Agachamento,107,13
50,Leg Press,75,10
50,Puxada Frontal,111,7
50,Supino Reto,62,7
50,Triceps Pulley,104,6
51,Desenvolvimento,40,10
51,Elevacao Lateral,102,10
51,Leg Press,10,15
51,Panturrilha,109,6
51,Supino Inclinado,41,15
52,Agachamento,113,8
52,Desenvolvimento,102,7
52,Leg Press,33,13
52,Puxada Frontal,53,7
52,Remada Curvada,104,15
53,Desenvolvimento,104,7
53,Panturrilha,70,12
53,Puxada Frontal,87,6
53,Remada Curvada,112,11
53,Rosca Direta,82,14
53,Supino Reto,68,8
54,Panturrilha,117,11
54,Remada Curvada,65,8
54,Rosca Direta,37,11
54,Supino Inclinado,119,7
55,Abdominal,64,9
55,Elevacao Lateral,35,12
55,Leg Press,71,6
55,Puxada Frontal,98,15
55,Supino Reto,99,15
55,Triceps Pulley,62,15
56,Desenvolvimento,37,11
56,Puxada Frontal,52,13
56,Triceps Pulley,107,13
57,Abdominal,59,13
57,Leg Press,40,6
57,Panturrilha,58,13
58,Abdominal,22,9
58,Puxada Frontal,68,11
58,Rosca Direta,118,10
58,Supino Reto,63,12
59,Abdominal,88,6
59,Agachamento,53,14
59,Elevacao Lateral,17,15
59,Rosca Direta,95,11
59,Supino Inclinado,68,11
59,Supino Reto,44,8
60,Agachamento,72,7
